,JM5048,JM5049,JM5050,JL5534,JL5535,JL5536,JL5537,JL5539,JL5541,JL5542,JL5543,JM8119,JM4501,JM4502,JM4503,JM4498,JM4499,JM9402,JM9401,JM9403,JM4508,JM4509,JM4510,JM9146,JM9375,JM9145,JM9409,JM9407,JM9408,JM4504,JM4505,JM4495,JM4496,JM4497,JL5544,JL5545,JL5546,JM9379,JM9377,JM9378,JM0014,JM9400,JM8464,JM8465,JM8466,JM8467,JM4492,JM4493,JM4494,JM4487,JM4488,JM4489,JM4490,JM4491,JM5051,JM5052,JM4506,JM4507,JM9405,JM9654,JM9655,JM4511,JM4512,JM4513,JM4515,JM4517,JM5053
JM8464,0.27309968138370505,0.2498862084660901,0.27309968138370505,0.10946745562130178,0.25466545289030496,0.1973145197997269,0.1973145197997269,0.25466545289030496,0.25466545289030496,0.20983158852981337,0.2985889849795175,0.22849340009103322,0.2598998634501593,0.25421028675466545,0.23623122439690486,0.28265817023213474,0.29062357760582613,0.20186618115612198,0.27173418297678653,0.27173418297678653,0.0923987255348202,0.2002730996813837,0.21688666363222575,0.2002730996813837,0.2002730996813837,0.22507965407373692,0.11219845243513883,0.24123805188893946,0.26331360946745563,0.22394173873463813,0.19003186162949476,0.20118343195266272,0.2380518889394629,0.29267182521620394,0.20801092398725535,0.25421028675466545,0.23099681383705054,0.23076923076923078,0.25421028675466545,0.25421028675466545,0.29107874374146564,0.24783796085571233,0.0,0.189804278561675,0.2505689576695494,0.24783796085571233,0.26308602639963585,0.26308602639963585,0.09899863450159307,0.2262175694128357,0.20937642239417387,0.19412835685025034,0.2262175694128357,0.24965862539827036,0.28015475648611743,0.12858443331816113,0.2869822485207101,0.0974055530268548,0.10696404187528448,0.25671370050068276,0.25170687300864814,0.19276285844333182,0.14519799726900318,0.2592171142467,0.20436959490213927,0.09808830223031406,0.16522530723714154
JM8465,0.1725079654073737,0.1306326809285389,0.1725079654073737,0.14997724169321802,0.12994993172507965,0.07624032771961765,0.07624032771961765,0.12994993172507965,0.12994993172507965,0.07419208010923987,0.1615839781520255,0.18024578971324534,0.12744651797906237,0.12084660901228948,0.14701866181156123,0.20163859808830223,0.19139736003641328,0.040737369139736,0.13837050523441055,0.13837050523441055,0.14428766499772416,0.058716431497496585,0.07123350022758307,0.06053709604005462,0.06053709604005462,0.10263996358670915,0.2032316795630405,0.15065999089667728,0.10309512972234866,0.05689576695493855,0.10491579426490669,0.1187983614019117,0.09512972234865726,0.20118343195266272,0.07737824305871643,0.13040509786071916,0.1440600819299044,0.14383249886208466,0.13040509786071916,0.13040509786071916,0.19139736003641328,0.15634956759217114,0.189804278561675,0.0,0.11811561219845243,0.12266727355484752,0.12289485662266728,0.12289485662266728,0.11401911697769686,0.22030040964952208,0.08192990441511151,0.05029585798816568,0.22030040964952208,0.15179790623577605,0.15225307237141555,0.15725989986345015,0.2501137915339099,0.17159763313609466,0.14201183431952663,0.10332271279016841,0.11652253072371416,0.0785161583978152,0.18070095584888485,0.12812926718252163,0.11697769685935366,0.11447428311333636,0.09877105143377332
JM8466,0.20414201183431951,0.2127901684114702,0.20414201183431951,0.22075557578516158,0.16841147018661812,0.162039144287665,0.162039144287665,0.16841147018661812,0.16841147018661812,0.1431497496586254,0.1162949476558944,0.1385980883022303,0.12084660901228948,0.108329540282203,0.17774237596722803,0.15680473372781065,0.12653618570778333,0.108329540282203,0.14952207555757852,0.14952207555757852,0.22598998634501594,0.12448793809740555,0.1356395084205735,0.14679107874374148,0.14679107874374148,0.12061902594446973,0.20710059171597633,0.12994993172507965,0.11060537096040055,0.11720527992717342,0.17341829767865272,0.18320436959490213,0.19276285844333182,0.2560309512972235,0.10810195721438325,0.09558488848429676,0.11697769685935366,0.11675011379153391,0.09558488848429676,0.09558488848429676,0.1306326809285389,0.20801092398725535,0.2505689576695494,0.11811561219845243,0.0,0.17523896222121074,0.0839781520254893,0.0839781520254893,0.20209376422394174,0.19048702776513426,0.12994993172507965,0.15020482476103778,0.19048702776513426,0.1993627674101047,0.15566681838871188,0.21301775147928995,0.18115612198452435,0.22690031861629495,0.23190714610832955,0.09626763768775604,0.1531634046426946,0.14474283113336367,0.21552116522530723,0.08739189804278562,0.09581247155211653,0.20118343195266272,0.18365953573054164
JM8467,0.14542558033682293,0.16317705962676377,0.14542558033682293,0.1843422849340009,0.17979062357760583,0.09057806099226218,0.09057806099226218,0.17979062357760583,0.17979062357760583,0.10491579426490669,0.16636322257624034,0.2519344560764679,0.15771506599908966,0.14838416021847975,0.16408739189804278,0.27059626763768774,0.1998179335457442,0.12744651797906237,0.12175694128356851,0.12175694128356851,0.19594902139280837,0.09672280382339554,0.10195721438324988,0.11219845243513883,0.11219845243513883,0.1242603550295858,0.23486572598998634,0.18821119708693673,0.10195721438324988,0.11902594446973146,0.18024578971324534,0.15999089667728722,0.094446973145198,0.16772872098315886,0.1540737369139736,0.14474283113336367,0.2002730996813837,0.20050068274920346,0.14474283113336367,0.14474283113336367,0.20118343195266272,0.19617660446062812,0.24783796085571233,0.12266727355484752,0.17523896222121074,0.0,0.20004551661356396,0.20004551661356396,0.19162494310423306,0.26558944014565317,0.14041875284478836,0.11288120163859809,0.26558944014565317,0.1989076012744652,0.23850705507510242,0.23031406463359125,0.22985889849795174,0.2077833409194356,0.17182521620391442,0.1809285389167046,0.12357760582612654,0.08238507055075102,0.1977696859353664,0.18752844788347747,0.1918525261720528,0.19116977696859352,0.13086026399635867
JM4492,0.2225762403277196,0.20573509330905781,0.2225762403277196,0.21643149749658624,0.175011379153391,0.1649977241693218,0.1649977241693218,0.175011379153391,0.175011379153391,0.12608101957214382,0.10377787892580792,0.1301775147928994,0.04961310878470642,0.07669549385525717,0.20300409649522075,0.14974965862539827,0.08579881656804733,0.09899863450159307,0.14201183431952663,0.14201183431952663,0.20755575785161584,0.12608101957214382,0.14178425125170688,0.13791533909877104,0.13791533909877104,0.1536185707783341,0.2191624943104233,0.05826126536185708,0.17683204369594901,0.12061902594446973,0.10309512972234866,0.17387346381429222,0.18661811561219846,0.26672735548475196,0.14110150204824762,0.0994538006372326,0.05348202093764224,0.05370960400546199,0.0994538006372326,0.0994538006372326,0.07942649066909421,0.18365953573054164,0.26308602639963585,0.12289485662266728,0.0839781520254893,0.20004551661356396,0.0,0.0,0.20459717796995905,0.20345926263086025,0.1574874829312699,0.1436049157942649,0.20345926263086025,0.1763768775603095,0.10446062812926718,0.2137005006827492,0.2123350022758307,0.21984524351388257,0.23395539371870733,0.024578971324533454,0.15384615384615385,0.14497041420118342,0.2266727355484752,0.022530723714155668,0.07646791078743742,0.20459717796995905,0.17751479289940827
JM4493,0.2225762403277196,0.20573509330905781,0.2225762403277196,0.21643149749658624,0.175011379153391,0.1649977241693218,0.1649977241693218,0.175011379153391,0.175011379153391,0.12608101957214382,0.10377787892580792,0.1301775147928994,0.04961310878470642,0.07669549385525717,0.20300409649522075,0.14974965862539827,0.08579881656804733,0.09899863450159307,0.14201183431952663,0.14201183431952663,0.20755575785161584,0.12608101957214382,0.14178425125170688,0.13791533909877104,0.13791533909877104,0.1536185707783341,0.2191624943104233,0.05826126536185708,0.17683204369594901,0.12061902594446973,0.10309512972234866,0.17387346381429222,0.18661811561219846,0.26672735548475196,0.14110150204824762,0.0994538006372326,0.05348202093764224,0.05370960400546199,0.0994538006372326,0.0994538006372326,0.07942649066909421,0.18365953573054164,0.26308602639963585,0.12289485662266728,0.0839781520254893,0.20004551661356396,0.0,0.0,0.20459717796995905,0.20345926263086025,0.1574874829312699,0.1436049157942649,0.20345926263086025,0.1763768775603095,0.10446062812926718,0.2137005006827492,0.2123350022758307,0.21984524351388257,0.23395539371870733,0.024578971324533454,0.15384615384615385,0.14497041420118342,0.2266727355484752,0.022530723714155668,0.07646791078743742,0.20459717796995905,0.17751479289940827
JM4494,0.24465179790623579,0.2360036413290851,0.24465179790623579,0.059626763768775605,0.20254893035958124,0.14474283113336367,0.14474283113336367,0.20254893035958124,0.20254893035958124,0.13222576240327719,0.23281747837960856,0.19412835685025034,0.2123350022758307,0.2052799271734183,0.22007282658170232,0.2628584433318161,0.27401001365498406,0.14155666818388712,0.22735548475193446,0.22735548475193446,0.05894401456531634,0.15999089667728722,0.1624943104233045,0.13586709148839327,0.13586709148839327,0.17614929449248976,0.1137915339098771,0.23327264451524807,0.20118343195266272,0.15817023213472917,0.12107419208010924,0.20141101502048248,0.17182521620391442,0.27423759672280384,0.1700045516613564,0.21301775147928995,0.2266727355484752,0.22644515248065544,0.21301775147928995,0.21301775147928995,0.27446517979062357,0.22894856622667273,0.09899863450159307,0.11401911697769686,0.20209376422394174,0.19162494310423306,0.20459717796995905,0.20459717796995905,0.0,0.1754665452890305,0.15498406918525262,0.1297223486572599,0.1754665452890305,0.2216659080564406,0.23850705507510242,0.06417842512517069,0.3409194355939918,0.07988165680473373,0.03299954483386436,0.18730086481565772,0.17592171142467,0.1524806554392353,0.0949021392808375,0.21210741920801093,0.20186618115612198,0.002275830678197542,0.1763768775603095
JM4487,0.3418297678652708,0.23532089212562585,0.3418297678652708,0.20004551661356396,0.25284478834774693,0.2578516158397815,0.2578516158397815,0.25284478834774693,0.25284478834774693,0.20345926263086025,0.21028675466545288,0.1579426490669094,0.21074192080109239,0.2032316795630405,0.17114246700045516,0.17705962676376877,0.27150659990896675,0.21506599908966773,0.22894856622667273,0.22894856622667273,0.20300409649522075,0.23850705507510242,0.21688666363222575,0.23486572598998634,0.23486572598998634,0.258306781975421,0.23782430587164316,0.2321347291761493,0.2560309512972235,0.20755575785161584,0.19230769230769232,0.2872098315885298,0.2803823395539372,0.29358215748748295,0.2589895311788803,0.22234865725989986,0.22462448793809742,0.22485207100591717,0.22234865725989986,0.22234865725989986,0.2728720983158853,0.26376877560309514,0.2262175694128357,0.22030040964952208,0.19048702776513426,0.26558944014565317,0.20345926263086025,0.20345926263086025,0.1754665452890305,0.0,0.26445152480655437,0.23782430587164316,0.0,0.22735548475193446,0.1859353664087392,0.19503868912152936,0.2091488393263541,0.20573509330905781,0.20573509330905781,0.18570778334091945,0.26718252162039147,0.2560309512972235,0.2316795630405098,0.20960400546199362,0.22030040964952208,0.1754665452890305,0.28447883477469277
JM4488,0.11970869367319072,0.15521165225307237,0.11970869367319072,0.1868456986800182,0.05894401456531634,0.10127446517979062,0.10127446517979062,0.05894401456531634,0.05894401456531634,0.08375056895766955,0.1902594446973145,0.18616294947655895,0.1784251251706873,0.1713700500682749,0.12699135184342286,0.23304506144742831,0.20186618115612198,0.10446062812926718,0.18752844788347747,0.18752844788347747,0.16522530723714154,0.12198452435138826,0.13404642694583524,0.04688211197086937,0.04688211197086937,0.027992717341829766,0.1531634046426946,0.1893491124260355,0.13450159308147475,0.07965407373691398,0.15043240782885753,0.12198452435138826,0.07828857532999545,0.17023213472917614,0.09968138370505235,0.15634956759217114,0.16863905325443787,0.16886663632225762,0.15634956759217114,0.15634956759217114,0.202776513427401,0.13404642694583524,0.20937642239417387,0.08192990441511151,0.12994993172507965,0.14041875284478836,0.1574874829312699,0.1574874829312699,0.15498406918525262,0.26445152480655437,0.0,0.03891670459717797,0.26445152480655437,0.12858443331816113,0.20368684569868,0.1700045516613564,0.2592171142467,0.20710059171597633,0.1843422849340009,0.15430131998179336,0.08602639963586708,0.10673645880746473,0.18616294947655895,0.16317705962676377,0.14610832954028222,0.15498406918525262,0.07965407373691398
JM4489,0.13040509786071916,0.12357760582612654,0.13040509786071916,0.15885298133818843,0.08784706417842512,0.07510241238051889,0.07510241238051889,0.08784706417842512,0.08784706417842512,0.05894401456531634,0.1804733727810651,0.17364588074647247,0.1477014110150205,0.1401911697769686,0.12767410104688212,0.22007282658170232,0.21119708693673192,0.07282658170232134,0.15817023213472917,0.15817023213472917,0.1385980883022303,0.09126081019572144,0.10286754665452891,0.0188893946290396,0.0188893946290396,0.059626763768775605,0.16977696859353664,0.17182521620391442,0.1356395084205735,0.049840691852526174,0.1247155211652253,0.1112881201638598,0.05348202093764224,0.16454255803368228,0.11174328629949931,0.14747382794720074,0.16340464269458352,0.16363222576240327,0.14747382794720074,0.14747382794720074,0.21301775147928995,0.1242603550295858,0.19412835685025034,0.05029585798816568,0.15020482476103778,0.11288120163859809,0.1436049157942649,0.1436049157942649,0.1297223486572599,0.23782430587164316,0.03891670459717797,0.0,0.23782430587164316,0.11470186618115612,0.1729631315430132,0.16613563950842059,0.271279016841147,0.1800182066454256,0.15771506599908966,0.12357760582612654,0.11219845243513883,0.0760127446517979,0.18775603095129723,0.14747382794720074,0.1381429221665908,0.12835685025034138,0.0625853436504324
JM4490,0.3418297678652708,0.23532089212562585,0.3418297678652708,0.20004551661356396,0.25284478834774693,0.2578516158397815,0.2578516158397815,0.25284478834774693,0.25284478834774693,0.20345926263086025,0.21028675466545288,0.1579426490669094,0.21074192080109239,0.2032316795630405,0.17114246700045516,0.17705962676376877,0.27150659990896675,0.21506599908966773,0.22894856622667273,0.22894856622667273,0.20300409649522075,0.23850705507510242,0.21688666363222575,0.23486572598998634,0.23486572598998634,0.258306781975421,0.23782430587164316,0.2321347291761493,0.2560309512972235,0.20755575785161584,0.19230769230769232,0.2872098315885298,0.2803823395539372,0.29358215748748295,0.2589895311788803,0.22234865725989986,0.22462448793809742,0.22485207100591717,0.22234865725989986,0.22234865725989986,0.2728720983158853,0.26376877560309514,0.2262175694128357,0.22030040964952208,0.19048702776513426,0.26558944014565317,0.20345926263086025,0.20345926263086025,0.1754665452890305,0.0,0.26445152480655437,0.23782430587164316,0.0,0.22735548475193446,0.1859353664087392,0.19503868912152936,0.2091488393263541,0.20573509330905781,0.20573509330905781,0.18570778334091945,0.26718252162039147,0.2560309512972235,0.2316795630405098,0.20960400546199362,0.22030040964952208,0.1754665452890305,0.28447883477469277
JM4491,0.19549385525716886,0.10081929904415111,0.19549385525716886,0.22894856622667273,0.11561219845243514,0.14974965862539827,0.14974965862539827,0.11561219845243514,0.11561219845243514,0.13450159308147475,0.2132453345471097,0.19230769230769232,0.22280382339553936,0.20345926263086025,0.11766044606281292,0.18456986800182065,0.2539827036868457,0.1515703231679563,0.2519344560764679,0.2519344560764679,0.2401001365498407,0.17364588074647247,0.17432862994993173,0.11857077833409195,0.11857077833409195,0.13336367774237598,0.22075557578516158,0.23190714610832955,0.21028675466545288,0.13086026399635867,0.1943559399180701,0.17455621301775148,0.15817023213472917,0.10537096040054619,0.1649977241693218,0.20755575785161584,0.2216659080564406,0.22189349112426035,0.20755575785161584,0.20755575785161584,0.25489303595812474,0.11925352753755121,0.24965862539827036,0.15179790623577605,0.1993627674101047,0.1989076012744652,0.1763768775603095,0.1763768775603095,0.2216659080564406,0.22735548475193446,0.12858443331816113,0.11470186618115612,0.22735548475193446,0.0,0.19116977696859352,0.20391442876649976,0.2594446973145198,0.24829312699135184,0.2510241238051889,0.19822485207100593,0.1700045516613564,0.1624943104233045,0.2669549385525717,0.19071461083295402,0.20368684569868,0.2221210741920801,0.149066909421939
